Date,regime_prob_0,regime_prob_1,regime_prob_2,regime_prob_3,regime
2022-02-24,0.07986155236335951,2.5040946439488383e-60,0.9201384476362442,2.011896272740173e-18,2
2022-02-25,0.05058669327457794,1.878307579069522e-54,0.9494133067257401,4.1324666631230645e-15,2
2022-02-28,0.024412916505851538,1.8496222942835167e-55,0.9755870834933092,1.750479371941822e-16,2
2022-03-01,0.0006493828989773837,1.1653533901741323e-70,0.999350617100775,1.3086584911870513e-22,2
2022-03-02,0.0001465598934763761,1.4916221342478186e-70,0.9998534401072903,7.414250929847211e-23,2
2022-03-03,0.000645991429303672,2.8747871467144674e-64,0.9993540085712608,2.3423884790035585e-19,2
2022-03-04,0.00017608145711956615,2.525282942171345e-67,0.9998239185433739,1.1523620130925248e-21,2
2022-03-07,1.0147777150048827e-07,9.058483456682896e-94,0.9999998985222243,1.627509963502292e-32,2
2022-03-08,1.0226238689491973e-06,6.473614448881687e-95,0.9999989773755942,9.879763264377144e-34,2
2022-03-09,1.1322048105794509e-05,2.560362924948992e-88,0.9999886779519084,3.619263305849898e-31,2
2022-03-10,0.005839976512552709,9.48223212867999e-69,0.994160023487398,7.139588368655576e-20,2
2022-03-11,0.011337298771996391,1.3235492673115225e-61,0.9886627012280972,2.426476584438168e-17,2
2022-03-14,0.021554125560479316,1.8352994670982957e-63,0.978445874439984,3.046464719388582e-19,2
2022-03-15,0.08572340212901988,2.920347318816805e-63,0.9142765978717756,3.8138651770315103e-19,2
2022-03-16,0.6361336097929191,1.0945026371596834e-51,0.36386639020619704,1.7020207064573936e-13,0
2022-03-17,0.9620955220599143,5.497072402328898e-40,0.03790447732391201,6.162132096599905e-10,0
2022-03-18,0.997784233624917,1.0116345683902813e-30,0.002215590078795031,1.7629630848096816e-07,0
2022-03-21,0.9998835975125221,1.2827926555245274e-25,0.00011284295414209005,3.5595338472541125e-06,0
2022-03-22,0.9999507517744994,8.669885568992792e-24,4.718386792256357e-05,2.0643576417846147e-06,0
2022-03-23,0.9999220365459719,7.954899570067684e-22,4.541461684575577e-05,3.25488376083073e-05,0
2022-03-24,0.9969493396379476,4.166279675033282e-17,4.325497758085033e-05,0.00300740538507335,0
2022-03-25,0.8098651173140404,7.735151266314784e-13,1.5578616810618256e-05,0.19011930406867114,0
2022-03-28,0.34304172822271634,1.4227100569092593e-09,9.900742706200662e-06,0.6569483696120233,3
2022-03-29,0.1314785247891625,1.345910478334562e-08,8.976352557742932e-06,0.8685124853997538,3
2022-03-30,0.06784805378488316,5.0083210691399656e-08,8.45805030739655e-06,0.9321434380816899,3
2022-03-31,0.06981917742343036,4.972599577819722e-10,9.578810632813071e-06,0.9301712432689248,3
2022-04-01,0.07979660282464554,1.1775491490150644e-08,6.940886167340738e-06,0.9201964445133456,3
2022-04-04,0.1264511330125132,6.119005888632031e-08,1.8248246550754292e-05,0.8735305575513412,3
2022-04-05,0.5585063175213598,1.116044020354737e-11,4.8297473987136624e-05,0.4414453849929597,0
2022-04-06,0.9405193647450291,5.179994436490923e-14,4.6161539838998354e-05,0.05943447371583745,0
2022-04-07,0.9913611175134284,6.72669674190745e-14,3.7645317543078464e-05,0.00860123716886232,0
2022-04-08,0.9966150044407791,3.772751898752994e-15,4.418457206845945e-05,0.0033408109879940013,0
2022-04-11,0.9999290614420311,1.6162144300847402e-23,6.39021383172212e-05,7.036419698908751e-06,0
2022-04-12,0.9999640053759211,3.0472088095520145e-25,3.506905660251988e-05,9.255683030713316e-07,0
2022-04-13,0.9999285948262447,2.7014053724057618e-21,4.4583186507551194e-05,2.6821986941779576e-05,0
2022-04-14,0.9998920002370009,4.25772127522207e-20,4.805169835608133e-05,5.994806523711014e-05,0
2022-04-18,0.99989017264276,9.168198451238907e-19,3.552648331314155e-05,7.430087400436463e-05,0
2022-04-19,0.999834956132608,7.584380015742933e-18,9.310890241449159e-05,7.193496489799984e-05,0
2022-04-20,0.9974425046637564,5.992130537423686e-15,0.00045236180132096865,0.0021051335340297466,0
2022-04-21,0.9938110364103946,2.6938509924325255e-19,0.006024310337784453,0.000164653252105905,0
